Sede Id;Sede Codice;Sede CodDistaccamento;Id Sede Padre;Descrizione;
01;01;0;001;DIREZIONE REGIONALE VV.F. PIEMONTE;
02;02;0;001;DIREZIONE REGIONALE VV.F. LOMBARDIA;
03;03;0;001;DIREZIONE REGIONALE VV.F. LIGURIA;
04;04;0;001;DIREZIONE REGIONALE VV.F. VENETO;
05;05;0;001;DIREZIONE REGIONALE VV.F. FRIULI VENEZIA GIULIA;
06;06;0;001;DIREZIONE REGIONALE VV.F. EMILIA ROMAGNA;
07;07;0;001;DIREZIONE REGIONALE VV.F. TOSCANA;
09;09;0;001;DIREZIONE REGIONALE VV.F. MARCHE;
10;10;0;001;DIREZIONE REGIONALE VV.F. LAZIO;
12;12;0;001;DIREZIONE REGIONALE VV.F. UMBRIA;
13;13;0;001;DIREZIONE REGIONALE VV.F. CAMPANIA;
15;15;0;001;DIREZIONE REGIONALE VV.F. PUGLIA;
16;16;0;001;DIREZIONE REGIONALE VV.F. CALABRIA;
17;17;0;001;DIREZIONE REGIONALE VV.F. SARDEGNA;
18;18;0;001;DIREZIONE REGIONALE VV.F. SICILIA;
19;19;0;001;DIREZIONE REGIONALE VV.F. BASILICATA;
20;20;0;001;DIREZIONE REGIONALE VV.F. ABRUZZO;
21;21;0;001;DIREZIONE REGIONALE VV.F. MOLISE;
